Trigger: G-switch.
Smart Recovery option enabled with altitude setting of 685 ft.
Timed recovery set at 16 sec (drogue) and 0 sec (main).
Data is sampled at 200 Hz.
Inputs that were sampled: Acceleration, Pressure, the digital inputs, ADC0, ADC1, ADC2, ADC3.
This data was generated with version 4.2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3.1
  Acc [G]  Alt [ft] 
     -0.3      1026 
     -0.6      1026 
     -0.4      1026 
     -0.3      1053 
     -0.4      1026 
     -0.3      1053 
     -0.3      1053 
     -0.6      1053 
     -0.4      1053 
     -0.0      1026 
     -0.3      1026 
     -0.4      1026 
     -0.3      1053 
     -0.2      1053 
     -0.4      1053 
     -0.2      1053 
     -0.4      1053 
     -0.3      1053 
     -0.2      1053 
     -0.2      1053 
     -0.4      1079 
     -0.2      1079 
     -0.3      1079 
     -0.2      1079 
     -0.3      1079 
     -0.4      1079 
     -0.3      1079 
     -0.3      1079 
     -0.3      1079 
     -0.4      1079 
     -0.3      1105 
     -0.2      1079 
     -0.2      1079 
     -0.0      1079 
     -0.4      1105 
     -0.2      1105 
     -0.3      1105 
     -0.2      1105 
     -0.4      1105 
     -0.3      1105 
     -0.4      1105 
     -0.3      1105 
     -0.3      1105 
     -0.4      1105 
     -0.3      1105 
     -0.3      1105 
     -0.0      1105 
     -0.3      1132 
     -0.2      1132 
     -0.3      1132 
     -0.4      1132 
     -0.0      1132 
     -0.4      1132 
     -0.3      1132 
     -0.0      1132 
     -0.3      1132 
     -0.3      1158 
     -0.3      1158 
     -0.3      1132 
     -0.2      1132 
     -0.2      1132 
     -0.3      1158 
     -0.3      1158 
     -0.4      1158 
     -0.2      1158 
     -0.3      1132 
     -0.4      1158 
     -0.3      1158 
     -0.4      1158 
     -0.4      1158 
     -0.3      1158 
     -0.4      1184 
     -0.2      1158 
     -0.3      1184 
     -0.3      1158 
     -0.3      1158 
     -0.3      1184 
     -0.4      1184 
     -0.2      1184 
     -0.3      1158 
     -0.0      1184 
     -0.4      1184 
     -0.2      1184 
     -0.2      1184 
     -0.6      1184 
     -0.3      1184 
     -0.2      1184 
     -0.2      1184 
     -0.2      1184 
     -0.4      1184 
     -0.3      1211 
     -0.3      1211 
     -0.3      1211 
     -0.3      1211 
     -0.3      1211 
     -0.2      1211 
     -0.4      1211 
     -0.0      1211 
     -0.2      1211 
     -0.3      1211 
     -0.3      1237 
     -0.2      1211 
     -0.3      1211 
     -0.3      1211 
     -0.3      1237 
     -0.4      1211 
     -0.3      1237 
     -0.3      1211 
     -0.3      1237 
     -0.3      1237 
     -0.0      1237 
     -0.3      1211 
     -0.3      1237 
     -0.2      1237 
     -0.3      1237 
     -0.3      1237 
     -0.0      1237 
     -0.3      1237 
     -0.2      1263 
     -0.3      1237 
     -0.4      1263 
     -0.2      1263 
     -0.2      1237 
     -0.3      1263 
     -0.3      1237 
     -0.2      1263 
     -0.3      1263 
     -0.2      1263 
     -0.3      1263 
     -0.4      1263 
     -0.0      1263 
     -0.2      1263 
     -0.2      1263 
     -0.3      1263 
     -0.3      1263 
     -0.3      1290 
     -0.0      1290 
     -0.3      1263 
     -0.2      1263 
     -0.3      1290 
     -0.0      1263 
     -0.2      1290 
     -0.3      1263 
     -0.2      1290 
     -0.2      1290 
     -0.4      1290 
     -0.0      1290 
     -0.4      1290 
     -0.2      1290 
     -0.2      1316 
     -0.4      1290 
     -0.4      1290 
     -0.2      1316 
     -0.2      1316 
     -0.3      1290 
     -0.3      1290 
     -0.2      1290 
     -0.3      1290 
     -0.2      1316 
     -0.2      1316 
     -0.4      1316 
     -0.2      1343 
     -0.2      1316 
     -0.4      1316 
     -0.2      1343 
     -0.2      1343 
     -0.2      1316 
     -0.0      1316 
     -0.2      1316 
     -0.3      1343 
     -0.2      1343 
     -0.0      1343 
     -0.3      1343 
     -0.3      1343 
     -0.2      1343 
     -0.4      1343 
     -0.2      1343 
     -0.0      1343 
     -0.3      1343 
     -0.2      1343 
     -0.2      1343 
     -0.3      1343 
     -0.3      1369 
     -0.2      1343 
     -0.2      1396 
     -0.4      1343 
     -0.2      1369 
     -0.4      1369 
     -0.4      1369 
     -0.0      1369 
     -0.2      1369 
     -0.4      1369 
     -0.3      1369 
     -0.3      1343 
     -0.4      1369 
     -0.6      1369 
     -0.3      1369 
     -0.6      1369 
     -0.4      1369 
     -0.3      1396 
     -0.6      1396 
     -0.3      1369 
     -0.2      1396 
     -0.2      1396 
     -0.2      1396 
     -0.0      1396 
     -0.0      1396 
     -0.3      1396 
     -0.0      1369 
     -0.2      1396 
     -0.0      1396 
     -0.0      1396 
     -0.2      1422 
     -0.2      1396 
     -0.2      1396 
     -0.0      1422 
     -0.2      1396 
     -0.3      1396 
     -0.2      1422 
     -0.3      1422 
     -0.4      1422 
     -0.6      1422 
     -0.4      1422 
     -0.3      1422 
     -0.4      1422 
     -0.6      1422 
     -0.3      1422 
     -0.3      1422 
     -0.2      1449 
     -0.3      1449 
     -0.2      1449 
     -0.0      1422 
     -0.4      1449 
     -0.2      1449 
     -0.3      1449 
     -0.3      1449 
     -0.2      1449 
     -0.3      1449 
     -0.2      1449 
      0.1      1475 
     -0.3      1449 
     -0.3      1449 
     -0.3      1449 
     -0.3      1449 
     -0.0      1449 
     -0.2      1449 
     -0.0      1449 
     -0.3      1449 
     -0.2      1449 
     -0.3      1475 
     -0.3      1475 
     -0.2      1475 
     -0.3      1449 
     -0.3      1475 
     -0.2      1475 
     -0.2      1475 
     -0.3      1502 
     -0.0      1502 
     -0.0      1475 
     -0.0      1475 
     -0.4      1502 
     -0.2      1475 
     -0.3      1502 
     -0.2      1475 
     -0.2      1475 
     -0.3      1502 
     -0.2      1502 
     -0.2      1502 
     -0.3      1475 
     -0.2      1502 
     -0.0      1502 
     -0.2      1502 
     -0.3      1502 
     -0.6      1502 
     -0.4      1502 
     -0.6      1502 
     -0.3      1502 
     -0.4      1502 
     -0.3      1502 
     -0.3      1529 
     -0.3      1529 
     -0.4      1529 
     -0.3      1529 
     -0.0      1529 
     -0.4      1529 
     -0.0      1529 
     -0.0      1529 
     -0.3      1529 
     -0.0      1529 
     -0.2      1529 
      0.1      1529 
      0.1      1529 
      0.1      1529 
     -0.2      1529 
     -0.0      1529 
     -0.2      1529 
     -0.4      1555 
     -0.3      1555 
     -0.3      1555 
     -0.0      1529 
     -0.4      1529 
     -0.4      1555 
     -0.6      1555 
     -0.4      1555 
     -0.3      1555 
     -0.4      1555 
     -0.4      1555 
     -0.2      1555 
     -0.2      1555 
     -0.2      1555 
     -0.0      1555 
     -0.2      1555 
     -0.2      1582 
     -0.3      1582 
     -0.0      1555 
     -0.2      1555 
     -0.3      1555 
     -0.2      1555 
     -0.3      1555 
     -0.3      1582 
     -0.2      1582 
     -0.0      1582 
     -0.3      1582 
      0.1      1582 
     -0.3      1555 
     -0.3      1582 
     -0.2      1582 
     -0.2      1582 
     -0.0      1582 
     -0.2      1609 
     -0.0      1582 
     -0.3      1582 
     -0.2      1609 
     -0.2      1582 
     -0.0      1609 
     -0.2      1609 
     -0.0      1582 
     -0.4      1609 
     -0.0      1582 
     -0.0      1609 
     -0.2      1609 
     -0.0      1609 
     -0.3      1609 
     -0.0      1609 
     -0.2      1609 
     -0.2      1609 
     -0.3      1609 
     -0.2      1609 
     -0.0      1609 
     -0.2      1609 
     -0.2      1635 
     -0.0      1635 
     -0.2      1609 
     -0.2      1635 
     -0.2      1635 
     -0.3      1635 
     -0.2      1635 
     -0.3      1635 
     -0.2      1635 
     -0.0      1635 
     -0.3      1635 
     -0.2      1635 
     -0.0      1635 
     -0.2      1635 
     -0.0      1635 
     -0.0      1635 
     -0.3      1662 
     -0.3      1635 
     -0.2      1662 
     -0.2      1662 
     -0.0      1662 
     -0.2      1635 
     -0.2      1662 
     -0.2      1662 
     -0.2      1635 
     -0.2      1662 
     -0.0      1662 
     -0.0      1662 
     -0.3      1662 
