acce(G)   alt(m) 
0.4      2950 
0.4      2950 
0.6      2977 
0.3      2977 
0.4      2950 
0.0      2977 
0.3      2977 
0.3      2977 
0.4      2977 
0.6      2977 
0.3      2977 
0.4      3005 
0.3      3005 
0.4      2977 
0.2      2977 
0.4      3005 
0.4      2977 
0.3      2977 
0.6      3005 
0.6      3005 
0.4      3005 
0.4      3005 
0.4      3005 
0.7      3005 
0.6      3033 
0.3      3005 
0.3      3005 
0.4      3033 
0.4      3033 
0.4      3033 
0.3      3033 
0.3      3060 
0.6      3033 
0.4      3060 
0.6      3060 
0.4      3033 
0.6      3060 
0.6      3060 
0.4      3060 
0.4      3060 
0.6      3060 
0.4      3060 
0.7      3060 
0.4      3060 
0.6      3060 
0.3      3060 
0.4      3088 
0.6      3088 
0.3      3088 
0.4      3088 
0.3      3088 
0.4      3088 
0.3      3088 
0.4      3088 
0.4      3088 
0.3      3088 
0.4      3088 
0.3      3088 
0.4      3088 
0.4      3116 
0.4      3116 
